Level,Brand,Main,Category,Parent,Market,Why?,Proof,Alternatives
DO_NOT_BUY,& Other Stories,Fashion,Mens Clothing and Accessories | Womens Clothing and Accessories | Clothing Stores,H&M Group,,H&M continues to open stores in Israel without using its international platform to push for Palestinian justice.,https://bdsmovement.net/news/hm-whitewashing-Israeli-colonization-jerusalem-bds-national-committee-calls-boycotting-hm,
DO_NOT_BUY,24S,Retail,Luxury Online,LVMH,,This brand is owned by LVMH. LVMH owner Bernard Arnault invests hundreds of millions in Israeli companies.,https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,
DO_NOT_BUY,3 Musketeers,Food-Sweets,Chocolate,Mars,,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,3CE,Personal Care-Beauty,Skincare,L'Oreal,,L'Oreal has heavy investment in and operates a factory in Occupied Palestine.,https://bdsmovement.net/news/l%E2%80%99oreal-makeup-israeli-apartheid,
DO_NOT_BUY,4 Star Chocolate,Food-Sweets,Chocolate,Mondelez International,,Mondelez invests in Israeli startups in Occupied Palestine.,https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-snackfutures-makes-seed-investment,
DO_NOT_BUY,5 Gum,Food-Sweets,Chewing Gum,Mars,,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
DO_NOT_BUY,5 Second Nail,Personal Care-Beauty,Cosmetics-Nails,American International Industries,,"American International is owned by Zvi Ryzman, an Israeli American dual citizen who grew up in Tel Aviv and served in the IOF.",https://wwd.com/feature/ardell-breaks-into-color-cosmetics-10894029/,
DO_NOT_BUY,6 Days Cake Bar,Food-Snacks,Cookies,Mondelez International,Latin America,Mondelez invests in Israeli startups in Occupied Palestine.,https://ir.mondelezinternational.com/news-releases/news-release-details/mondelez-international-snackfutures-makes-seed-investment,
DO_NOT_BUY,7 For All Mankind,Fashion,Mens Clothing and Accessories | Womens Clothing and Accessories,Delta Galil Industries,,Delta Galil is an Israeli textile company with manufacturing and operations in illegal West Bank settlements,http://www.inminds.com/boycott-delta-galil.html,
DO_NOT_BUY,7 Up,Food-Beverage,Soda,Keurig Dr Pepper,,"JAB Holding Company has a controlling interest in Keurig Dr Pepper. JAB funds the Landecker Foundation, which is a German organization fighting anti-semitism by supporting Hillel, a Zionist campus group, and cooperating with Hebrew University, without advocating for justice for Palestinians.",https://www.alfredlandecker.org/en/projects/cooperation-with-the-hebrew-university-of-jerusalem,
DO_NOT_BUY,8X4 Deodorant,Personal Care-Hygiene,Deodorant-Men | Deodorant-Women,Beiersdorf,,"8x4 is owned by Bieiersdorf, which has a 60% interest in it's Israeli subsidiary Alpa-BDF Ltd., located in Herzeliya.",https://reports.beiersdorf.com/annual-report/2022/additional-information/beiersdorf-ag-s-shareholdings.html,
DO_NOT_BUY,A&W,Food-Beverage,Soda,Keurig Dr Pepper,,"JAB Holding Company has a controlling interest in Keurig Dr Pepper. JAB funds the Landecker Foundation, which is a German organization fighting anti-semitism by supporting Hillel, a Zionist campus group, and cooperating with Hebrew University, without advocating for justice for Palestinians.",https://www.alfredlandecker.org/en/projects/cooperation-with-the-hebrew-university-of-jerusalem,
DO_NOT_BUY,Abbey Well Water,Food-Beverage,Water,Coca-Cola,UK,"Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,
DO_NOT_BUY,Abu Siouf Rice,Food,Rice-Bulk,Mars,,Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel,https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners,
